latitude,longitude,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200,latitude_ap,longitude_ap,id_p
41.52142799999999,-87.40810400000001,605,605,605,201,41.521525,-87.403572,188_164
41.484442,-88.05487,2204,334,143,91,41.477298,-88.066104,83_4
41.533349,-87.47669900000001,2201,296,180,42,41.513894,-87.55814000000001,124_71
41.524553,-87.430386,2265,524,353,220,41.524482,-87.42549600000001,22_17
41.484996,-88.04782800000001,2177,521,403,256,41.486344,-88.045926,92_120
41.499353,-88.009303,2982,231,68,29,41.50927,-87.564185,123_72
41.475674,-88.065899,2177,521,403,256,41.47724,-88.066134,92_120
41.521235,-87.551247,2643,794,101,28,41.522653,-87.51406300000001,72_22
41.522792,-87.45871100000001,2142,970,366,117,41.525443,-87.414452,71_62
41.522241,-87.527074,2489,187,71,30,41.523566,-87.53866400000001,70_35
41.521831,-87.387837,2489,187,71,30,41.522766,-87.50492,70_35
41.523891000000006,-87.387058,2204,334,143,91,41.523662,-87.477871,83_4
41.525264,-87.420246,1383,304,216,79,41.521787,-87.38939,68_160
41.523362,-87.400977,992,434,304,59,41.525407,-87.41444600000001,206_17
41.525754,-87.3942,2056,1327,1199,931,41.523186,-87.47117,60_58
41.522944,-87.455242,2531,168,88,34,41.524036,-87.48040999999999,89_25
41.522959,-87.49896000000001,2643,794,101,28,41.523753,-87.47819,72_22
41.518077000000005,-87.554418,2280,659,292,168,41.514461,-87.55753399999999,17_113
41.523245,-87.472232,2531,168,88,34,41.522992,-87.450684,25_89
41.52456600000001,-87.42758400000001,2142,970,366,117,41.525035,-87.394088,71_62
41.521666,-87.39059999999999,2026,317,124,45,41.525493,-87.407379,64_2
41.522623,-87.508958,1826,403,342,239,41.522830000000006,-87.450619,48_98
41.521553,-87.39935299999999,605,605,605,201,41.521636,-87.39422699999999,188_164
41.523331,-87.49277099999999,3611,2773,709,59,41.524322000000005,-87.488908,65_99
41.483006,-88.027644,3644,522,370,282,41.50027,-88.00582200000001,35_1
41.518815,-87.390563,2501,331,90,28,41.524837,-87.39410900000001,113_117
41.488411,-88.016976,2822,529,274,102,41.484440000000006,-88.054912,6_8
41.480114,-88.054732,2501,331,90,28,41.51999300000001,-87.552858,113_117
41.522225,-87.52739100000001,2280,659,292,168,41.519711,-87.55303900000001,17_113
41.52277,-87.46568799999999,2552,1441,812,556,41.522757,-87.45860699999999,2_22
41.52580700000001,-87.394198,2501,331,90,28,41.52547,-87.412048,113_117
41.523075,-87.446527,2982,231,68,29,41.522994,-87.468308,123_72
41.522676,-87.508796,2769,2559,1471,909,41.522853,-87.500739,68_123
41.523036000000005,-87.45261599999999,3611,2773,709,59,41.523383,-87.44288,65_99
41.521714,-87.400442,871,430,335,28,41.52542,-87.41512,130_104
41.523021,-87.452209,2889,174,74,26,41.523226,-87.394083,117_73
41.495562,-88.01359000000001,2201,293,71,27,41.520605,-87.55216399999999,71_112
41.524548,-87.429321,2643,915,740,192,41.524581,-87.42759400000001,116_22
41.522535,-87.52291600000001,2142,970,366,117,41.523801000000006,-87.478422,71_62
41.52427,-87.542845,2250,124,61,24,41.522696,-87.517017,35_9
41.525432,-87.413332,1026,393,335,32,41.521582,-87.393979,92_12
41.527862,-87.47815800000001,2201,296,180,42,41.485984,-88.029489,124_71
41.507552,-87.56697899999999,2280,174,83,32,41.523754,-87.478146,17_116
41.523089,-87.469923,2142,970,366,117,41.524549,-87.427392,71_62
41.5224,-87.460858,1826,134,64,26,41.521817,-87.38795400000001,27_98
41.524446,-87.436945,2432,461,385,314,41.52266,-87.509539,117_25
41.523066,-87.44786,2889,174,74,26,41.521677,-87.392885,117_73
41.484859,-88.046851,474,382,202,158,41.480489,-88.044854,39_16
41.523598,-87.538588,2358,238,197,89,41.522633,-87.518156,54_30
41.523084,-87.45549000000001,2310,548,418,167,41.525147,-87.421346,123_104
41.521853,-87.530557,1758,285,236,41,41.486563,-87.58553099999999,48_108
41.525509,-87.409254,1383,304,216,79,41.521798,-87.389274,68_160
41.525262000000005,-87.42021500000001,2034,372,198,95,41.527864,-87.477047,84_124
41.524426000000005,-87.43811299999999,2257,436,345,92,41.523617,-87.490443,123_17
41.47787099999999,-88.06601500000001,2091,674,453,96,41.48506999999999,-88.049017,80_32
41.525244,-87.420311,2501,331,90,28,41.525397000000005,-87.419413,113_117
41.522623,-87.462901,2210,587,539,356,41.522073,-87.52801600000001,10_91
41.522851,-87.467287,2531,168,88,34,41.522555,-87.52274,89_25
41.475599,-88.066369,2250,496,67,26,41.478816,-88.059596,9_67
41.509115,-87.387822,429,305,91,28,41.521714,-87.389272,125_181
41.523522,-87.538382,2210,587,539,356,41.486191,-88.0344,10_91
41.506615,-87.58568600000001,2056,1327,1199,931,41.506653,-87.58377399999999,60_58
41.50669,-87.58263000000001,3611,2773,709,59,41.507197,-87.56785400000001,65_99
41.521487,-87.40329200000001,657,288,90,40,41.524977,-87.388694,154_136
41.521556,-87.39908799999999,545,330,173,116,41.522933,-87.39164000000001,162_186
41.52257,-87.522605,2042,430,302,279,41.485883,-88.026235,10_55
41.523842,-87.441826,2310,483,253,30,41.523504,-87.491229,112_104
41.525411000000005,-87.415157,1026,393,335,32,41.521545,-87.393991,92_12
41.522665,-87.46426,2531,168,88,34,41.52275899999999,-87.515095,89_25
41.48474100000001,-88.045841,2489,187,71,30,41.522642,-87.548103,70_35
41.525747,-87.396457,2042,908,330,61,41.522831,-87.466662,55_58
41.517425,-87.389085,2161,176,92,37,41.525422,-87.41384,63_112
41.475306,-88.066666,2501,331,90,28,41.511559,-87.56055099999999,113_117
41.485879,-88.045919,2822,529,274,102,41.475407,-88.06671200000001,6_8
41.524449,-87.43013,2280,174,83,32,41.524499,-87.43205400000001,17_116
41.521857,-87.531206,2042,908,330,61,41.522631,-87.519318,55_58
41.477839,-88.06614400000001,3644,522,370,282,41.477755,-88.06613300000001,35_1
41.523989,-87.47987300000001,2607,1509,1151,302,41.52430999999999,-87.488191,68_22
41.525432,-87.416787,3611,2773,709,59,41.525495,-87.40706399999999,65_99
41.48445,-88.046415,2020,963,507,87,41.484955,-88.051753,45_112
41.524441,-87.483981,1383,186,102,18,41.522895,-87.40556699999999,22_160
41.522618,-87.52083199999998,2042,430,302,279,41.485808,-88.024624,10_55
41.506831000000005,-87.570893,2142,970,366,117,41.50770000000001,-87.566711,71_62
