id,s_id,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200
73,130,863,471,355,66
74,1,2831,574,174,46
75,27,2638,571,67,26
75,35,2638,438,217,23
75,98,1826,566,252,25
75,119,2190,1136,913,356
76,29,2862,370,329,293
76,39,2164,305,273,118
76,45,2198,364,74,29
76,49,3308,1376,1026,274
76,55,2042,192,99,46
76,58,2529,402,81,32
76,60,2116,185,88,37
76,63,2002,294,262,113
76,84,2059,1154,136,49
76,90,2164,338,289,155
76,91,2256,163,78,32
78,88,157,157,122,63
79,27,2359,1000,137,34
79,35,2359,125,61,23
79,67,2187,1221,1178,678
79,70,2274,1682,999,313
79,119,2227,1315,592,269
79,131,608,173,96,42
80,32,2091,674,453,96
80,34,2091,1300,965,453
80,66,2091,321,67,26
80,81,2067,416,160,22
80,120,2091,459,418,349
81,34,2573,415,179,52
81,58,2529,239,185,45
81,80,2067,416,160,22
82,32,2063,423,221,96
82,120,2063,148,73,30
82,122,2063,559,325,253
83,4,2204,334,143,91
83,11,2078,203,167,131
83,18,2292,496,319,110
83,121,2277,975,400,371
84,10,2059,204,89,36
84,34,2059,570,396,313
84,49,2059,451,105,25
84,76,2059,1154,136,49
84,124,2034,372,198,95
86,40,619,619,474,213
86,174,777,777,777,777
87,173,414,414,414,414
88,78,157,157,122,63
89,17,2280,974,699,163
89,25,2531,168,88,34
89,33,2677,1204,824,450
89,64,2026,1268,301,77
89,113,2501,574,180,37
90,29,2164,468,388,173
90,39,2179,1054,773,349
90,63,2017,1798,953,258
90,73,2179,412,96,37
90,76,2164,338,289,155
90,112,2179,259,91,35
90,116,2179,249,156,48
90,117,2179,249,156,48
91,10,2210,587,539,356
91,29,2209,1044,565,408
91,55,2042,1705,546,242
91,58,2173,1328,1183,682
91,60,2116,2114,2114,1809
91,76,2256,163,78,32
92,12,1026,393,335,32
92,120,2177,521,403,256
98,27,1826,134,64,26
98,35,1826,125,58,22
98,48,1826,403,342,239
98,75,1826,566,252,25
99,65,3611,2773,709,59
99,143,812,201,58,22
101,20,671,365,196,65
101,121,2008,293,64,26
101,136,1786,327,209,34
104,49,2285,748,670,375
104,72,2310,181,86,39
104,73,2289,571,410,306
104,112,2310,483,253,30
104,116,2310,662,164,95
104,117,2310,662,164,95
104,123,2310,548,418,167
104,124,2310,645,378,102
104,130,871,430,335,28
106,14,3149,516,290,57
107,13,297,297,297,63
107,127,409,357,261,145
108,27,1758,284,245,106
108,30,1758,283,244,102
108,35,1696,221,188,12
108,48,1758,285,236,41
108,54,1735,1079,642,180
108,136,1130,198,77,30
112,21,428,388,188,68
112,39,2239,783,303,86
112,45,2020,963,507,87
112,49,2888,472,239,29
112,62,2245,226,99,33
112,63,2161,176,92,37
112,71,2201,293,71,27
112,73,2889,1999,581,206
112,90,2179,259,91,35
112,104,2310,483,253,30
112,116,3119,148,68,27
112,117,3119,148,68,27
112,124,2944,556,374,298
112,160,1062,738,431,146
113,17,2280,659,292,168
113,33,2501,626,576,199
113,64,2026,435,304,201
113,72,2501,310,91,35
113,89,2501,574,180,37
113,116,2501,331,90,28
113,117,2501,331,90,28
116,2,2619,692,326,45
116,17,2280,174,83,32
116,22,2643,915,740,192
116,25,2432,461,385,314
116,33,2822,438,211,29
116,39,2239,189,115,42
116,45,2198,425,67,25
116,55,2042,201,108,54
116,58,2520,157,113,51
116,62,2245,264,151,90
116,63,2161,228,132,50
116,64,2026,194,100,41
116,68,2769,445,165,66
116,71,2201,954,540,51
116,72,3502,1345,773,284
116,73,2889,174,74,26
116,90,2179,249,156,48
116,104,2310,662,164,95
116,112,3119,148,68,27
116,113,2501,331,90,28
116,117,4160,4160,4160,4160
116,123,2982,527,156,60
116,124,3473,295,86,35
117,2,2619,692,326,45
117,17,2280,174,83,32
117,22,2643,915,740,192
117,25,2432,461,385,314
117,33,2822,438,211,29
117,39,2239,189,115,42
117,45,2198,425,67,25
117,62,2245,264,151,90
117,63,2161,228,132,50
117,64,2026,194,100,41
117,68,2769,445,165,66
117,71,2201,954,540,51
117,72,3502,1345,773,284
117,73,2889,174,74,26
117,90,2179,249,156,48
117,104,2310,662,164,95
117,112,3119,148,68,27
117,113,2501,331,90,28
117,116,4160,4160,4160,4160
117,123,2982,527,156,60
117,124,3249,295,86,35
118,24,1880,79,34,13
119,27,2227,591,74,29
119,35,2227,152,66,25
119,67,2162,701,228,82
119,70,2227,1223,1125,596
119,75,2190,1136,913,356
119,79,2227,1315,592,269
120,32,2550,342,311,99
120,66,2225,395,115,16
120,80,2091,459,418,349
120,82,2063,148,73,30
120,92,2177,521,403,256
120,122,2636,174,70,29
121,11,2451,253,204,130
121,83,2277,975,400,371
121,101,2008,293,64,26
122,82,2063,559,325,253
122,120,2636,174,70,29
123,17,2257,436,345,92
123,64,2026,410,97,25
123,68,2769,2559,1471,909
123,72,2982,231,68,29
123,104,2310,548,418,167
123,116,2982,527,156,60
123,117,2982,527,156,60
123,135,720,498,265,33
124,49,3660,1610,849,428
124,71,2201,296,180,42
124,73,2889,414,239,92
124,84,2034,372,198,95
124,104,2310,645,378,102
124,112,2944,556,374,298
124,116,3473,295,86,35
124,117,3249,295,86,35
124,160,887,361,270,134
125,69,233,233,145,24
125,181,429,305,91,28
126,2,518,438,267,126
126,17,466,346,228,75
126,22,451,335,191,119
126,68,415,289,131,73
127,107,409,357,261,145
130,49,859,430,365,110
130,71,565,273,231,21
130,73,863,471,355,66
130,104,871,430,335,28
130,160,843,843,708,414
130,199,780,656,165,97
131,67,608,165,94,31
131,70,608,130,79,26
131,79,608,173,96,42
132,11,605,605,440,31
132,20,551,551,506,143
132,136,605,512,141,75
132,154,593,593,380,135
134,4,608,545,201,21
134,5,716,318,276,14
134,18,513,435,203,52
134,155,548,548,292,65
135,2,720,212,117,19
135,17,720,281,139,49
135,123,720,498,265,33
135,206,720,720,533,114
136,11,1899,1899,1330,568
136,20,671,671,178,70
136,27,1171,341,84,32
136,30,1139,329,80,29
136,35,1068,161,86,32
136,48,1135,273,86,30
136,54,1107,227,66,22
136,101,1786,327,209,34
136,108,1130,198,77,30
136,132,605,512,141,75
136,154,657,288,90,40
136,203,715,519,383,283
137,156,1035,692,488,241
138,19,884,489,294,89
138,23,782,202,161,90
139,144,18,18,18,18
139,161,59,59,59,59
141,197,243,243,215,52
143,65,1061,101,51,19
143,99,812,201,58,22
144,139,18,18,18,18
144,150,528,206,80,13
144,161,403,403,403,252
144,177,802,104,46,20
146,5,467,360,160,14
146,192,367,189,82,25
149,42,823,815,404,106
149,182,958,644,354,17
150,36,652,466,345,47
150,57,594,488,355,36
150,144,528,206,80,13
150,161,444,193,117,46
152,164,683,479,330,212
152,188,670,465,351,264
152,196,375,375,287,198
153,165,203,203,203,150
154,20,539,534,157,43
154,132,593,593,380,135
154,136,657,288,90,40
155,134,548,548,292,65
156,137,1035,692,488,241
158,44,822,259,79,22
159,11,605,435,164,53
159,59,605,368,203,64
160,17,1383,273,146,44
160,22,1383,186,102,18
160,64,1217,303,217,73
160,68,1383,304,216,79
160,71,537,279,241,131
160,112,1062,738,431,146
160,124,887,361,270,134
160,130,843,843,708,414
160,180,499,478,239,64
161,139,59,59,59,59
161,144,403,403,403,252
161,150,444,193,117,46
162,3,545,427,179,64
162,186,545,330,173,116
162,205,545,545,470,211
163,185,1894,185,143,79
163,190,963,556,163,46
164,152,683,479,330,212
164,188,605,605,605,201
165,153,203,203,203,150
168,175,274,274,251,29
169,176,954,832,633,354
169,191,685,408,272,201
170,200,149,149,73,16
172,57,1733,103,49,19
173,87,414,414,414,414
174,40,619,619,474,213
174,86,777,777,777,777
175,168,274,274,251,29
176,169,954,832,633,354
176,191,688,444,357,270
177,144,802,104,46,20
179,182,389,389,389,389
180,160,499,478,239,64
181,6,739,242,164,38
181,14,697,289,188,22
181,69,543,214,134,60
181,125,429,305,91,28
182,149,958,644,354,17
182,179,389,389,389,389
183,193,273,169,85,24
184,185,342,342,294,98
185,58,2129,225,118,61
185,163,1894,185,143,79
185,184,342,342,294,98
186,3,1103,367,317,41
186,162,545,330,173,116
186,205,982,683,195,66
188,152,670,465,351,264
188,164,605,605,605,201
189,19,751,751,751,413
190,163,963,556,163,46
